schema_name,table_name,column_order,column_name,data_type,max_length,precision,scale,is_nullable,is_identity,is_primary_key
dbo,AlcancePromo,1,Id,int,4,10,0,0,1,1
dbo,AlcancePromo,2,Promo,int,4,10,0,1,0,0
dbo,AlcancePromo,3,Tienda,int,4,10,0,1,0,0
dbo,ArticuloPrecio,1,baseCol,varchar,50,0,0,0,0,1
dbo,ArticuloPrecio,2,Precio,decimal,9,18,2,1,0,0
dbo,ArticuloPrecio,3,FechaCarga,datetime,8,23,3,1,0,0
dbo,Articulos,1,IdArticulo,varchar,50,0,0,0,0,1
dbo,Articulos,2,Base,varchar,50,0,0,1,0,0
dbo,Articulos,3,Color,varchar,50,0,0,1,0,0
dbo,Articulos,4,Talle,varchar,50,0,0,1,0,0
dbo,Articulos,5,Descripcion,varchar,200,0,0,1,0,0
dbo,Articulos,6,DescripcionCorta,varchar,100,0,0,1,0,0
dbo,Articulos,7,IdClase,int,4,10,0,1,0,0
dbo,Articulos,8,DescripcionClase,varchar,100,0,0,1,0,0
dbo,Articulos,9,IdSeccion,int,4,10,0,1,0,0
dbo,Articulos,10,DescripcionSeccion,varchar,100,0,0,1,0,0
dbo,Articulos,11,IdCategoria,int,4,10,0,1,0,0
dbo,Articulos,12,DescripcionCategoria,varchar,100,0,0,1,0,0
dbo,Articulos,13,IdMarca,int,4,10,0,1,0,0
dbo,Articulos,14,DescripcionMarca,varchar,100,0,0,1,0,0
dbo,Articulos,15,IdGenero,int,4,10,0,1,0,0
dbo,Articulos,16,DescripcionGenero,varchar,100,0,0,1,0,0
dbo,Articulos,17,FechaCarga,datetime,8,23,3,1,0,0
dbo,Articulos,18,img,varchar,100,0,0,1,0,0
dbo,Articulos,19,Cloud_path,varchar,100,0,0,1,0,0
dbo,Ciudades,1,IdCiudad,int,4,10,0,0,0,0
dbo,Ciudades,2,Descripcion,nvarchar,240,0,0,0,0,0
dbo,Ciudades,3,coordX,decimal,5,9,6,0,0,0
dbo,Ciudades,4,coordY,decimal,5,9,6,0,0,0
dbo,Ciudades,5,Poblacion,int,4,10,0,0,0,0
dbo,Ciudades,6,Desempleo,decimal,5,5,2,0,0,0
dbo,Ciudades,7,Actividad,decimal,5,5,2,0,0,0
dbo,Colores,1,id_color,varchar,10,0,0,1,0,0
dbo,Colores,2,nombre,varchar,50,0,0,1,0,0
